Описание;Цена;Рейтинг;Ссылка
Смартфон INFINIX Zero 40 5G 12/512Gb,  X6861,  титановый;42990₽;;https://www.citilink.ru/product/smartfon-infinix-zero-40-5g-x6861-512gb-12gb-titan-3g-4g-6-78-and14-80-2052879/
Смартфон Xiaomi Poco C65 8/256Gb,  черный;12490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c65-8-256gb-chernyi-1992830/
Смартфон Xiaomi Poco M6 8/256Gb,  фиолетовый;14490₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-fioletovyi-3g-4g-2sim-6-79-ips-1080x-2027558/
Смартфон Xiaomi Redmi 12 8/256Gb,  голубой;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-goluboi-1942864/
Смартфон Apple iPhone 13 128Gb,  A2633,  сияющая звезда;63690₽;4.9;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-siyayuschaya-zvezda-1901131/
Смартфон Xiaomi Redmi 13C 8/256Gb,  синий;15990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-8-256gb-sinii-1992873/
Смартфон REALME Note 50 3/64Gb,  RMX3834,  черный;6990₽;4.7;https://www.citilink.ru/product/smartfon-realme-note-50-3-64gb-rmx3834-chernyi-2003598/
Смартфон Xiaomi Poco M6 8/256Gb,  серебристый;14490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-serebristyi-3g-4g-2sim-6-79-ips-1080-2027557/
Смартфон REALME C61 6/128Gb,  RMX3930,  зеленый;10990₽;4.9;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-128gb-6gb-zelenyi-3g-4g-2sim-6-75-ips-720x-2047014/
Смартфон Xiaomi Redmi 12 8/256Gb,  черный;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-chernyi-1942868/
Смартфон Xiaomi Redmi 13C 4/128Gb,  белый;12990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-belyi-1992863/
Смартфон REALME C65 6/128 Gb,  RMX3910,  черный;12999₽;5;https://www.citilink.ru/product/smartfon-realme-c65-rmx3910-128gb-6gb-chernyi-3g-4g-2sim-6-67-ips-720x-2048253/
Смартфон Xiaomi Poco X6 5G 8/256Gb,  черный;24990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-8-256gb-chernyi-2001147/
Смартфон REALME C61 8/256Gb,  RMX3930,  зеленый;12499₽;4.4;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-256gb-8gb-zelenyi-3g-4g-2sim-6-75-ips-720x-2047018/
Смартфон Apple iPhone 13 128Gb,  A2633,  розовый;63690₽;4.8;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-rozovyi-1901135/
Смартфон Xiaomi Redmi 13C 4/128Gb,  синий;12990₽;4.5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-sinii-1992866/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  лаванда;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-lavanda-3g-4g-6-6-10-2011568/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  лаванда;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-goluboi-3g-4g-6-6-10-2011869/
Смартфон Xiaomi Poco C75 8/256Gb,  зеленый;12990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c75-256gb-8gb-zelenyi-3g-4g-2sim-6-88-ips-1640x72-2062031/
Смартфон Xiaomi Poco X6 5G 12/256Gb,  черный;31990₽;4.6;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-12-256gb-chernyi-2001150/
Смартфон Samsung Galaxy A35 5G 8/128Gb,  SM-A356E,  темно-синий;27990₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-128gb-8gb-temno-sinii-3g-4g-6-2011482/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  черный;82990₽;4.8;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-chernyi-2000113/
Смартфон Xiaomi Redmi 13C 4/128Gb,  черный;12990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-chernyi-1992864/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  черный;20990₽;;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-chernyi-2002381/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  темно-синий;31990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-temno-sinii-3g-4g-6-2011538/
Смартфон REALME C67 8/256 Gb,  RMX3890,  черный;19990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c67-8-256-gb-rmx3890-chernyi-2003616/
Смартфон Apple iPhone 15 Pro 128Gb,  A3104,  белый титан;120390₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-pro-128gb-a3104-belyi-titan-1991467/
Смартфон Xiaomi Poco F6 12/512Gb,  черный;45990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-512gb-12gb-chernyi-3g-4g-2sim-6-67-amoled-1220-2027564/
Смартфон REALME C63 8/256 Gb,  RMX3939,  синий;16990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c63-rmx3939-256gb-8gb-sinii-3g-4g-2sim-6-74-ips-720x16-2052555/
Смартфон Xiaomi Poco X6 Pro 5G 12/512Gb,  черный;39990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-pro-5g-12-512gb-chernyi-2002384/
Смартфон Apple iPhone 13 128Gb,  A2633,  темная ночь;63690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-temnaya-noch-1912378/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  зеленый;20990₽;4.4;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-zelenyi-2002383/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  темно-синий;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-temno-sinii-3g-4g-6-2011867/
Смартфон REALME C61 8/256Gb,  RMX3930,  золотой;12499₽;5;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-256gb-8gb-zolotistyi-3g-4g-2sim-6-75-ips-7-2047017/
Смартфон Samsung Galaxy A05s 4/64Gb,  SM-A057F,  черный;10490₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05s-4-64gb-sm-a057f-chernyi-1985070/
Смартфон Apple iPhone 15 128Gb,  A3090,  розовый;85390₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-128gb-a3090-rozovyi-1982730/
Смартфон Apple iPhone 12 128Gb,  A2403,  черный;58590₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-12-a2403-128gb-4gb-chernyi-3g-4g-6-1-1170x2532-i-1914957/
Смартфон REALME Note 50 4/128Gb,  RMX3834,  голубой;8490₽;5;https://www.citilink.ru/product/smartfon-realme-note-50-4-128gb-rmx3834-goluboi-2003610/
Смартфон Samsung Galaxy S21 FE 8/128Gb,  SM-G990E,  графит;42990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s21-fe-sm-g990e-128gb-8gb-grafit-3g-4g-6-4-108-2065855/
Смартфон Xiaomi Redmi Note 13 6/128Gb,  зеленый;18490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-6-128gb-zelenyi-2002377/
Смартфон Xiaomi Redmi A3 4/128Gb,  черный;8990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3-4-128gb-chernyi-2007008/
Смартфон Xiaomi Redmi A3 4/128Gb,  голубой;8990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3-4-128gb-goluboi-2007014/
Смартфон Xiaomi Redmi A3x 3/64Gb,  зеленый;6990₽;4.6;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3x-64gb-3gb-zelenyi-3g-4g-2sim-6-78-ips-720x160-2027561/
Смартфон Honor X7b 8/128Gb,  черный;14990₽;4.9;https://www.citilink.ru/product/smartfon-honor-x7b-8-128gb-chernyi-1998157/
Смартфон Apple iPhone 15 128Gb,  A3090,  голубой;85390₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-128gb-a3090-goluboi-1982728/
Смартфон TECNO Pova Neo 6 8/256Gb,  черный;18990₽;5;https://www.citilink.ru/product/smartfon-tecno-pova-neo-6-256gb-8gb-chernyi-3g-4g-6-82-720x1640-and13-2024508/
Смартфон Xiaomi Redmi Note 13 8/128Gb,  зеленый;18990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-128gb-zelenyi-2002380/
Смартфон TECNO Pova 6 Pro 5G 12/256Gb,  серый;23990₽;4.6;https://www.citilink.ru/product/smartfon-tecno-pova-6-pro-5g-12-256gb-seryi-2011898/
Смартфон REALME Note 50 4/128Gb,  RMX3834,  черный;8490₽;4.9;https://www.citilink.ru/product/smartfon-realme-note-50-4-128gb-rmx3834-chernyi-2003612/
Смартфон Samsung Galaxy S24 FE 8/256Gb,  SM-S721B,  графит;69990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-fe-sm-s721b-256gb-8gb-grafit-3g-4g-6-7-108-2058092/
Смартфон Xiaomi Redmi A3x 3/64Gb,  черный;6990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3x-64gb-3gb-chernyi-3g-4g-2sim-6-78-ips-720x160-2027562/
Смартфон Samsung Galaxy S24 Ultra 12/512Gb,  черный титан;129990₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-ultra-5g-12-512gb-sm-s928b-chernyi-titan-2000228/
Смартфон Xiaomi Poco C61 3/64Gb,  белый;5990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c61-64gb-3gb-belyi-3g-4g-2sim-6-78-ips-720x1600-a-2054871/
Смартфон Apple iPhone 13 128Gb,  A2633,  альпийский зеленый;63690₽;;https://www.citilink.ru/product/smartfon-apple-iphone-13-a2633-128gb-4gb-zelenyi-3g-4g-6-1-1170x2532-i-1912377/
Смартфон Xiaomi Poco F6 12/512Gb,  зеленый;45990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-512gb-12gb-zelenyi-3g-4g-2sim-6-67-amoled-1220-2027569/
Смартфон Xiaomi Redmi Note 13 8/128Gb,  черный;18990₽;4.6;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-128gb-chernyi-2002378/
Смартфон Xiaomi Redmi Note 13 Pro 12/512Gb,  черный;33990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-pro-12-512gb-chernyi-2001305/
Смартфон Xiaomi Redmi A3 4/128Gb,  зеленый;8990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3-4-128gb-zelenyi-2007016/
Смартфон Samsung Galaxy A25 8/256Gb,  SM-A256E,  темно-синий;25990₽;4.8;https://www.citilink.ru/product/smartfon-samsung-galaxy-a25-8-256gb-sm-a256e-temno-sinii-1999537/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  голубой;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-goluboi-3g-4g-6-6-10-2011868/
Смартфон Xiaomi Poco F6 Pro 12/512Gb,  черный;57990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-pro-512gb-12gb-chernyi-3g-4g-2sim-6-67-amoled-2027553/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  лаванда;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-lavanda-3g-4g-6-6-10-2011865/
Смартфон Xiaomi Redmi Note 13 8/128Gb,  синий;18990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-128gb-sinii-2002379/
Смартфон Xiaomi Poco C75 8/256Gb,  черный;12990₽;;https://www.citilink.ru/product/smartfon-xiaomi-poco-c75-256gb-8gb-chernyi-3g-4g-2sim-6-88-ips-1640x72-2062029/
Смартфон Apple iPhone 13 128Gb,  A2633,  синий;63690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-sinii-1901138/
Смартфон Xiaomi Redmi Note 13 Pro 8/128Gb,  черный;26990₽;4.2;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-pro-8-128gb-chernyi-2001301/
Смартфон Xiaomi Poco X6 Pro 5G 12/512Gb,  серый;39990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-pro-5g-12-512gb-seryi-2001222/
Смартфон Honor 200 Pro 12/512Gb,  белый лунный;64990₽;5;https://www.citilink.ru/product/smartfon-honor-200-pro-512gb-12gb-belyi-lunnyi-3g-4g-2sim-6-78-amoled-2028605/
Смартфон Xiaomi Redmi Note 13 6/128Gb,  синий;18490₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-6-128gb-sinii-2002376/
Смартфон Xiaomi Poco M6 6/128Gb,  черный;14490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-128gb-6gb-chernyi-3g-4g-2sim-6-79-ips-1080x240-2027556/
Смартфон Honor X7b 8/128Gb,  изумрудный зеленый;14990₽;5;https://www.citilink.ru/product/smartfon-honor-x7b-8-128gb-izumrudnyi-zelenyi-1998158/
Смартфон Apple iPhone 14 128Gb,  A2882,  темная ночь;74990₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-14-128gb-a2882-temnaya-noch-1885593/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  голубой;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-goluboi-3g-4g-6-6-10-2011565/
Смартфон TECNO Pova 6 12/256Gb,  серый;23990₽;4.6;https://www.citilink.ru/product/smartfon-tecno-pova-6-256gb-12gb-seryi-3g-4g-6-08-1080x2436-and14-108m-2020945/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  лаванда;31990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-lavanda-3g-4g-6-6-10-2019267/
Смартфон ITEL P65 6/256Gb,  P671LN,  титан;13990₽;5;https://www.citilink.ru/product/smartfon-itel-p65-p671ln-256gb-6gb-titan-3g-4g-2sim-6-67-ips-720x1600-2052183/
Смартфон REALME Note 50 3/64Gb,  RMX3834,  голубой;6990₽;4.7;https://www.citilink.ru/product/smartfon-realme-note-50-3-64gb-rmx3834-goluboi-2003579/
Смартфон Xiaomi Redmi A3x 3/64Gb,  белый;6990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-a3x-64gb-3gb-belyi-3g-4g-2sim-6-78-ips-720x1600-2027563/
Смартфон TECNO Spark 30C 8/256Gb,  черный;12990₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-30c-256gb-8gb-chernyi-3g-4g-6-56-720x1612-and13-5-2058665/
Смартфон Xiaomi Redmi 13C 8/256Gb,  белый;15990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-8-256gb-belyi-1992874/
Смартфон Xiaomi Poco X6 5G 12/256Gb,  белый;31990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-12-256gb-belyi-2001148/
